kegg,name,EC,EC1,EC2,EC3,cog,cogid,cogcat,cogdesc
K00466,tryptophan 2-monooxygenase [EC:1.13.12.3],1.13.12.3,Oxidoreductases,Acting on single donors with incorporation of molecular oxygen (oxygenases),With incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases),NA,NA,NA,NA
K00470,uncharacterized protein,NA,NA,NA,NA,NA,NA,NA,NA
K00476,aspartate beta-hydroxylase [EC:1.14.11.16],1.14.11.16,Oxidoreductases,"Acting on paired donors, with incorporation or reduction of molecular oxygen","With 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors",NA,NA,NA,NA
K00479,glycine betaine catabolism A,NA,NA,NA,NA,"Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit",COG4638,P,Inorganic ion transport and metabolism
K00481,p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2],1.14.13.2,Oxidoreductases,"Acting on paired donors, with incorporation or reduction of molecular oxygen","With NADH or NADPH as one donor, and incorporation of one atom of oxygen",2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,COG0654,H,Coenzyme metabolis
K00483,4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9],1.14.14.9,Oxidoreductases,"Acting on paired donors, with incorporation or reduction of molecular oxygen","With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Aromatic ring hydroxylase,COG2368,Q,Secondary Structure
K00484,flavin reductase (NADH) [EC:1.5.1.36],1.5.1.36,Oxidoreductases,Acting on the CH-NH group of donors,With NAD(+) or NADP(+) as acceptor,"NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family",COG1853,C,Energy production and conversion
K00491,"nitric-oxide synthase, bacterial [EC:1.14.14.47]",1.14.14.47,Oxidoreductases,"Acting on paired donors, with incorporation or reduction of molecular oxygen","With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","Nitric oxide synthase, oxygenase domain",COG4362,P,Inorganic ion transport and metabolism
K00492,"1,3,7-trimethyluric acid 5-monooxygenase [EC:1.14.13.212]",1.14.13.212,Oxidoreductases,"Acting on paired donors, with incorporation or reduction of molecular oxygen","With NADH or NADPH as one donor, and incorporation of one atom of oxygen",NA,NA,NA,NA
K00494,alkanal monooxygenase alpha chain [EC:1.14.14.3],1.14.14.3,Oxidoreductases,"Acting on paired donors, with incorporation or reduction of molecular oxygen","With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",NA,NA,NA,NA
K00500,phenylalanine-4-hydroxylase [EC:1.14.16.1],1.14.16.1,Oxidoreductases,"Acting on paired donors, with incorporation or reduction of molecular oxygen","With reduced pteridine as one donor, and incorporation of one atom of oxygen",Phenylalanine-4-hydroxylase,COG3186,E,Amino Acid metabolis and transport
K00507,stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1],1.14.19.1,Oxidoreductases,"Acting on paired donors, with incorporation or reduction of molecular oxygen",With oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water,Fatty-acid desaturase,COG1398,I,Lipid metabolism
K00510,heme oxygenase 1 [EC:1.14.14.18],1.14.14.18,Oxidoreductases,"Acting on paired donors, with incorporation or reduction of molecular oxygen","With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",NA,NA,NA,NA
K00517,indol-3-yl-methylglucosinolate hydroxylase [EC:1.14.-.-],1.14.-.-,Oxidoreductases,"Acting on paired donors, with incorporation or reduction of molecular oxygen","Acting on paired donors, with incorporation or reduction of molecular oxygen",NA,NA,NA,NA
K00520,mercuric reductase [EC:1.16.1.1],1.16.1.1,Oxidoreductases,Oxidizing metal ions,With NAD(+) or NADP(+) as acceptor,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme",COG1249,C,Energy production and conversion
K00523,"CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]",1.17.1.1,Oxidoreductases,Acting on CH or CH(2) groups,With NAD(+) or NADP(+) as acceptor,NAD(P)H-flavin reductase,COG0543,H,Coenzyme metabolis
K00525,ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1],1.17.4.1,Oxidoreductases,Acting on CH or CH(2) groups,With a disulfide as acceptor,Ribonucleotide reductase alpha subunit,COG0209,F,Nucleotide metabolism and transport
K00526,ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1],1.17.4.1,Oxidoreductases,Acting on CH or CH(2) groups,With a disulfide as acceptor,"Ribonucleotide reductase beta subunit, ferritin-like domain",COG0208,F,Nucleotide metabolism and transport
K00527,ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2],1.17.4.2,Oxidoreductases,Acting on CH or CH(2) groups,With a disulfide as acceptor,NA,NA,NA,NA
K00528,ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1],1.18.1.2,Oxidoreductases,Acting on iron-sulfur proteins as donors,With NAD(+) or NADP(+) as acceptor,Ferredoxin-NADP reductase,COG1018,C,Energy production and conversion
K00529,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3],1.18.1.3,Oxidoreductases,Acting on iron-sulfur proteins as donors,With NAD(+) or NADP(+) as acceptor,"NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase",COG0446,I,Lipid metabolism
K00532,ferredoxin hydrogenase [EC:1.12.7.2],1.12.7.2,Oxidoreductases,Acting on hydrogen as donors,With an iron-sulfur protein as acceptor,NA,NA,NA,NA
K00533,ferredoxin hydrogenase large subunit [EC:1.12.7.2],1.12.7.2,Oxidoreductases,Acting on hydrogen as donors,With an iron-sulfur protein as acceptor,NA,NA,NA,NA
K00537,arsenate reductase (glutaredoxin) [EC:1.20.4.1],1.20.4.1,Oxidoreductases,Acting on phosphorus or arsenic in donors,With disulfide as acceptor,"Arsenate reductase and related proteins, glutaredoxin family",COG1393,P,Inorganic ion transport and metabolism
K00538,uncharacterized protein,NA,NA,NA,NA,NA,NA,NA,NA
K00540,F420H(2)-dependent quinone reductase [EC:1.1.98.-],1.1.98.-,Oxidoreductases,Acting on the CH-OH group of donors,"With other, known, acceptors",NA,NA,NA,NA
K00547,homocysteine S-methyltransferase [EC:2.1.1.10],2.1.1.10,Transferases,Transferring one-carbon groups,Methyltransferases,Homocysteine/selenocysteine methylase (S-methylmethionine-dependent),COG2040,E,Amino Acid metabolis and transport
K00548,5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13],2.1.1.13,Transferases,Transferring one-carbon groups,Methyltransferases,"Methionine synthase I (cobalamin-dependent), methyltransferase domain",COG0646,E,Amino Acid metabolis and transport
K00549,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],2.1.1.14,Transferases,Transferring one-carbon groups,Methyltransferases,Methionine synthase II (cobalamin-independent),COG0620,E,Amino Acid metabolis and transport
K00554,tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228],2.1.1.228,Transferases,Transferring one-carbon groups,Methyltransferases,tRNA G37 N-methylase TrmD,COG0336,J,Tranlsation
K00556,tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34],2.1.1.34,Transferases,Transferring one-carbon groups,Methyltransferases,tRNA G18 (ribose-2'-O)-methylase SpoU,COG0566,J,Tranlsation
K00557,tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35],2.1.1.35,Transferases,Transferring one-carbon groups,Methyltransferases,"tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family",COG2265,J,Tranlsation
K00558,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],2.1.1.37,Transferases,Transferring one-carbon groups,Methyltransferases,Site-specific DNA-cytosine methylase,COG0270,L,Replication and repair
K00560,thymidylate synthase [EC:2.1.1.45],2.1.1.45,Transferases,Transferring one-carbon groups,Methyltransferases,Thymidylate synthase,COG0207,F,Nucleotide metabolism and transport
K00561,23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184],2.1.1.184,Transferases,Transferring one-carbon groups,Methyltransferases,16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity),COG0030,J,Tranlsation
K00563,23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187],2.1.1.187,Transferases,Transferring one-carbon groups,Methyltransferases,SAM-dependent methyltransferase,COG0500,Q,Secondary Structure
K00564,16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172],2.1.1.172,Transferases,Transferring one-carbon groups,Methyltransferases,16S rRNA G1207 methylase RsmC,COG2813,J,Tranlsation
K00566,tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13],2.8.1.13,Transferases,Transferring sulfur-containing groups,Sulfurtransferases,"tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain",COG0482,J,Tranlsation
K00567,methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63],2.1.1.63,Transferases,Transferring one-carbon groups,Methyltransferases,O6-methylguanine-DNA--protein-cysteine methyltransferase,COG0350,L,Replication and repair
K00568,2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64],2.1.1.222,Transferases,Transferring one-carbon groups,Methyltransferases,"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase",COG2227,H,Coenzyme metabolis
K00571,site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72],2.1.1.72,Transferases,Transferring one-carbon groups,Methyltransferases,Adenine-specific DNA methylase,COG0827,L,Replication and repair
K00573,protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77],2.1.1.77,Transferases,Transferring one-carbon groups,Methyltransferases,Protein-L-isoaspartate O-methyltransferase,COG2518,O,"Post-translational modification, protein turnover, chaperone functions"
K00574,cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79],2.1.1.79,Transferases,Transferring one-carbon groups,Methyltransferases,Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases,COG2230,I,Lipid metabolism
K00575,chemotaxis protein methyltransferase CheR [EC:2.1.1.80],2.1.1.80,Transferases,Transferring one-carbon groups,Methyltransferases,Methylase of chemotaxis methyl-accepting proteins,COG1352,N,Cell motility
K00588,caffeoyl-CoA O-methyltransferase [EC:2.1.1.104],2.1.1.104,Transferases,Transferring one-carbon groups,Methyltransferases,Predicted O-methyltransferase YrrM,COG4122,R,General Functional Prediction only
K00590,site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113],2.1.1.113,Transferases,Transferring one-carbon groups,Methyltransferases,DNA modification methylase,COG0863,L,Replication and repair
K00595,"precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]",2.1.1.132,Transferases,Transferring one-carbon groups,Methyltransferases,Precorrin-6B methylase 1,COG2241,H,Coenzyme metabolis
K00598,trans-aconitate 2-methyltransferase [EC:2.1.1.144],2.1.1.144,Transferases,Transferring one-carbon groups,Methyltransferases,SAM-dependent methyltransferase,COG0500,Q,Secondary Structure
K00599,methyltransferase-like protein 6 [EC:2.1.1.-],2.1.1.-,Transferases,Transferring one-carbon groups,Methyltransferases,NA,NA,NA,NA
K00600,glycine hydroxymethyltransferase [EC:2.1.2.1],2.1.2.1,Transferases,Transferring one-carbon groups,"Hydroxymethyl-, formyl- and related transferases",Glycine/serine hydroxymethyltransferase,COG0112,E,Amino Acid metabolis and transport
K00602,phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],2.1.2.3,Transferases,Transferring one-carbon groups,"Hydroxymethyl-, formyl- and related transferases",AICAR transformylase/IMP cyclohydrolase PurH,COG0138,F,Nucleotide metabolism and transport
K00603,glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2],2.1.2.5,Transferases,Transferring one-carbon groups,"Hydroxymethyl-, formyl- and related transferases",Glutamate formiminotransferase,COG3643,E,Amino Acid metabolis and transport
K00604,methionyl-tRNA formyltransferase [EC:2.1.2.9],2.1.2.9,Transferases,Transferring one-carbon groups,"Hydroxymethyl-, formyl- and related transferases",Methionyl-tRNA formyltransferase,COG0223,J,Tranlsation
K00605,aminomethyltransferase [EC:2.1.2.10],2.1.2.10,Transferases,Transferring one-carbon groups,"Hydroxymethyl-, formyl- and related transferases",Glycine cleavage system T protein (aminomethyltransferase),COG0404,E,Amino Acid metabolis and transport
K00606,3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11],2.1.2.11,Transferases,Transferring one-carbon groups,"Hydroxymethyl-, formyl- and related transferases",Ketopantoate hydroxymethyltransferase,COG0413,H,Coenzyme metabolis
K00609,aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2],2.1.3.2,Transferases,Transferring one-carbon groups,Carboxy- and carbamoyltransferases,"Aspartate carbamoyltransferase, catalytic chain",COG0540,F,Nucleotide metabolism and transport
K00610,aspartate carbamoyltransferase regulatory subunit,NA,NA,NA,NA,"Aspartate carbamoyltransferase, regulatory subunit",COG1781,F,Nucleotide metabolism and transport
K00611,ornithine carbamoyltransferase [EC:2.1.3.3],2.1.3.3,Transferases,Transferring one-carbon groups,Carboxy- and carbamoyltransferases,Ornithine carbamoyltransferase,COG0078,E,Amino Acid metabolis and transport
K00612,carbamoyltransferase [EC:2.1.3.-],2.1.3.-,Transferases,Transferring one-carbon groups,Carboxy- and carbamoyltransferases,"Predicted carbamoyl transferase, NodU family",COG2192,R,General Functional Prediction only
K00613,glycine amidinotransferase [EC:2.1.4.1],2.1.4.1,Transferases,Transferring one-carbon groups,Amidinotransferases,NA,NA,NA,NA
K00614,citrate synthase lysine N-methyltransferase [EC:2.1.1.-],2.1.1.-,Transferases,Transferring one-carbon groups,Methyltransferases,NA,NA,NA,NA
K00615,transketolase [EC:2.2.1.1],2.2.1.1,Transferases,Transferring aldehyde or ketonic groups,Transketolases and transaldolases,Transketolase,COG0021,G,Carbohydrate metabolism and transport
K00616,transaldolase [EC:2.2.1.2],2.2.1.2,Transferases,Transferring aldehyde or ketonic groups,Transketolases and transaldolases,Transaldolase,COG0176,G,Carbohydrate metabolism and transport
K00619,amino-acid N-acetyltransferase [EC:2.3.1.1],2.3.1.1,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,"N-acetylglutamate synthase or related acetyltransferase, GNAT family",COG1246,E,Amino Acid metabolis and transport
K00620,glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1],2.3.1.35,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,N-acetylglutamate synthase (N-acetylornithine aminotransferase),COG1364,E,Amino Acid metabolis and transport
K00625,phosphate acetyltransferase [EC:2.3.1.8],2.3.1.8,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Phosphotransacetylase,COG0280,C,Energy production and conversion
K00626,acetyl-CoA C-acetyltransferase [EC:2.3.1.9],2.3.1.9,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Acetyl-CoA acetyltransferase,COG0183,I,Lipid metabolism
K00627,pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12],2.3.1.12,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component",COG0508,C,Energy production and conversion
K00631,glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15],2.3.1.15,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Glycerol-3-phosphate O-acyltransferase,COG2937,I,Lipid metabolism
K00632,acetyl-CoA acyltransferase [EC:2.3.1.16],2.3.1.16,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Acetyl-CoA acetyltransferase,COG0183,I,Lipid metabolism
K00633,galactoside O-acetyltransferase [EC:2.3.1.18],2.3.1.18,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Acetyltransferase (isoleucine patch superfamily),COG0110,R,General Functional Prediction only
K00634,phosphate butyryltransferase [EC:2.3.1.19],2.3.1.19,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Phosphotransacetylase,COG0280,C,Energy production and conversion
K00635,diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75],2.3.1.20,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,NA,NA,NA,NA
K00638,chloramphenicol O-acetyltransferase type B [EC:2.3.1.28],2.3.1.28,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Acetyltransferase (isoleucine patch superfamily),COG0110,R,General Functional Prediction only
K00639,glycine C-acetyltransferase [EC:2.3.1.29],2.3.1.29,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,7-keto-8-aminopelargonate synthetase or related enzyme,COG0156,H,Coenzyme metabolis
K00640,serine O-acetyltransferase [EC:2.3.1.30],2.3.1.30,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Serine acetyltransferase,COG1045,E,Amino Acid metabolis and transport
K00641,homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46],2.3.1.31,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Homoserine acetyltransferase,COG2021,E,Amino Acid metabolis and transport
K00643,5-aminolevulinate synthase [EC:2.3.1.37],2.3.1.37,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,7-keto-8-aminopelargonate synthetase or related enzyme,COG0156,H,Coenzyme metabolis
K00645,[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39],2.3.1.39,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Malonyl CoA-acyl carrier protein transacylase,COG0331,I,Lipid metabolism
K00647,3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41],2.3.1.41,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,3-oxoacyl-(acyl-carrier-protein) synthase,COG0304,I,Lipid metabolism
K00648,3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180],2.3.1.180,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,3-oxoacyl-[acyl-carrier-protein] synthase III,COG0332,I,Lipid metabolism
K00651,homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31],2.3.1.46,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Homoserine trans-succinylase,COG1897,E,Amino Acid metabolis and transport
K00652,8-amino-7-oxononanoate synthase [EC:2.3.1.47],2.3.1.47,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,7-keto-8-aminopelargonate synthetase or related enzyme,COG0156,H,Coenzyme metabolis
K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51],2.3.1.51,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,1-acyl-sn-glycerol-3-phosphate acyltransferase,COG0204,I,Lipid metabolism
K00656,formate C-acetyltransferase [EC:2.3.1.54],2.3.1.54,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Pyruvate-formate lyase,COG1882,C,Energy production and conversion
K00657,diamine N-acetyltransferase [EC:2.3.1.57],2.3.1.57,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,"Protein N-acetyltransferase, RimJ/RimL family",COG1670,J,Tranlsation
K00658,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61],2.3.1.61,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component",COG0508,C,Energy production and conversion
K00661,maltose O-acetyltransferase [EC:2.3.1.79],2.3.1.79,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Acetyltransferase (isoleucine patch superfamily),COG0110,R,General Functional Prediction only
K00662,aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81],2.3.1.81,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,NA,NA,NA,NA
K00663,aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82],2.3.1.82,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,"Protein N-acetyltransferase, RimJ/RimL family",COG1670,J,Tranlsation
K00666,fatty-acyl-CoA synthase [EC:6.2.1.-],6.2.1.-,Ligases,Forming carbon-sulfur bonds,Acid--thiol ligases,NA,NA,NA,NA
K00673,arginine N-succinyltransferase [EC:2.3.1.109],2.3.1.109,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Arginine/ornithine N-succinyltransferase beta subunit,COG3138,E,Amino Acid metabolis and transport
K00674,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]",2.3.1.117,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Tetrahydrodipicolinate N-succinyltransferase,COG2171,E,Amino Acid metabolis and transport
K00675,N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118],2.3.1.118,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Arylamine N-acetyltransferase,COG2162,Q,Secondary Structure
K00676,uncharacterized protein,NA,NA,NA,NA,NA,NA,NA,NA
K00677,UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129],2.3.1.129,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase,COG1043,M,Cell wall/membrane/envelop biogenesis
K00680,uncharacterized N-acetyltransferase [EC:2.3.1.-],2.3.1.-,Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,NA,NA,NA,NA
K00681,gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13],2.3.2.2,Transferases,Acyltransferases,Aminoacyltransferases,Gamma-glutamyltranspeptidase,COG0405,E,Amino Acid metabolis and transport
K00684,leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6],2.3.2.6,Transferases,Acyltransferases,Aminoacyltransferases,Leu/Phe-tRNA-protein transferase,COG2360,O,"Post-translational modification, protein turnover, chaperone functions"
K00685,arginyl-tRNA---protein transferase [EC:2.3.2.8],2.3.2.8,Transferases,Acyltransferases,Aminoacyltransferases,Arginyl-tRNA--protein-N-Asp/Glu arginylyltransferase,COG2935,O,"Post-translational modification, protein turnover, chaperone functions"
K00687,penicillin-binding protein 2B,NA,NA,NA,NA,Cell division protein FtsI/penicillin-binding protein 2,COG0768,D,Cell cycle control and mitosis
K00688,glycogen phosphorylase [EC:2.4.1.1],2.4.1.1,Transferases,Glycosyltransferases,Hexosyltransferases,Glucan phosphorylase,COG0058,G,Carbohydrate metabolism and transport
K00689,dextransucrase [EC:2.4.1.5],2.4.1.5,Transferases,Glycosyltransferases,Hexosyltransferases,NA,NA,NA,NA
K00690,sucrose phosphorylase [EC:2.4.1.7],2.4.1.7,Transferases,Glycosyltransferases,Hexosyltransferases,Glycosidase,COG0366,G,Carbohydrate metabolism and transport
K00691,maltose phosphorylase [EC:2.4.1.8],2.4.1.8,Transferases,Glycosyltransferases,Hexosyltransferases,Trehalose and maltose hydrolase (possible phosphorylase),COG1554,G,Carbohydrate metabolism and transport
K00692,levansucrase [EC:2.4.1.10],2.4.1.10,Transferases,Glycosyltransferases,Hexosyltransferases,NA,NA,NA,NA
K00693,glycogen synthase [EC:2.4.1.11],2.4.1.11,Transferases,Glycosyltransferases,Hexosyltransferases,Glycogen synthase,COG0297,G,Carbohydrate metabolism and transport
K00694,cellulose synthase (UDP-forming) [EC:2.4.1.12],2.4.1.12,Transferases,Glycosyltransferases,Hexosyltransferases,"Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase",COG1215,N,Cell motility
K00697,trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347],2.4.1.15,Transferases,Glycosyltransferases,Hexosyltransferases,Trehalose-6-phosphate synthase,COG0380,G,Carbohydrate metabolism and transport
K00700,"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]",2.4.1.18,Transferases,Glycosyltransferases,Hexosyltransferases,"1,4-alpha-glucan branching enzyme",COG0296,G,Carbohydrate metabolism and transport
K00701,cyclomaltodextrin glucanotransferase [EC:2.4.1.19],2.4.1.19,Transferases,Glycosyltransferases,Hexosyltransferases,NA,NA,NA,NA
K00702,cellobiose phosphorylase [EC:2.4.1.20],2.4.1.20,Transferases,Glycosyltransferases,Hexosyltransferases,NA,NA,NA,NA
K00703,starch synthase [EC:2.4.1.21],2.4.1.21,Transferases,Glycosyltransferases,Hexosyltransferases,Glycogen synthase,COG0297,G,Carbohydrate metabolism and transport
K00705,4-alpha-glucanotransferase [EC:2.4.1.25],2.4.1.25,Transferases,Glycosyltransferases,Hexosyltransferases,4-alpha-glucanotransferase,COG1640,G,Carbohydrate metabolism and transport
K00713,"UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.-]",2.4.1.-,Transferases,Glycosyltransferases,Hexosyltransferases,NA,NA,NA,NA
K00721,dolichol-phosphate mannosyltransferase [EC:2.4.1.83],2.4.1.83,Transferases,Glycosyltransferases,Hexosyltransferases,Glycosyltransferase involved in cell wall bisynthesis,COG0463,M,Cell wall/membrane/envelop biogenesis
K00743,N-acetyllactosaminide 3-alpha-galactosyltransferase [EC:2.4.1.87],2.4.1.87,Transferases,Glycosyltransferases,Hexosyltransferases,NA,NA,NA,NA
K00745,raffinose-raffinose alpha-galactotransferase [EC:2.4.1.166],2.4.1.166,Transferases,Glycosyltransferases,Hexosyltransferases,NA,NA,NA,NA
K00748,lipid-A-disaccharide synthase [EC:2.4.1.182],2.4.1.182,Transferases,Glycosyltransferases,Hexosyltransferases,Lipid A disaccharide synthetase,COG0763,M,Cell wall/membrane/envelop biogenesis
K00752,hyaluronan synthase [EC:2.4.1.212],2.4.1.212,Transferases,Glycosyltransferases,Hexosyltransferases,"Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase",COG1215,N,Cell motility
K00754,L-malate glycosyltransferase [EC:2.4.1.-],2.4.1.-,Transferases,Glycosyltransferases,Hexosyltransferases,Glycosyltransferase involved in cell wall bisynthesis,COG0438,M,Cell wall/membrane/envelop biogenesis
K00756,pyrimidine-nucleoside phosphorylase [EC:2.4.2.2],2.4.2.2,Transferases,Glycosyltransferases,Pentosyltransferases,Thymidine phosphorylase,COG0213,F,Nucleotide metabolism and transport
K00757,uridine phosphorylase [EC:2.4.2.3],2.4.2.3,Transferases,Glycosyltransferases,Pentosyltransferases,Uridine phosphorylase,COG2820,F,Nucleotide metabolism and transport
K00758,thymidine phosphorylase [EC:2.4.2.4],2.4.2.4,Transferases,Glycosyltransferases,Pentosyltransferases,Thymidine phosphorylase,COG0213,F,Nucleotide metabolism and transport
K00759,adenine phosphoribosyltransferase [EC:2.4.2.7],2.4.2.7,Transferases,Glycosyltransferases,Pentosyltransferases,Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein,COG0503,F,Nucleotide metabolism and transport
K00760,hypoxanthine phosphoribosyltransferase [EC:2.4.2.8],2.4.2.8,Transferases,Glycosyltransferases,Pentosyltransferases,Hypoxanthine-guanine phosphoribosyltransferase,COG0634,F,Nucleotide metabolism and transport
K00761,uracil phosphoribosyltransferase [EC:2.4.2.9],2.4.2.9,Transferases,Glycosyltransferases,Pentosyltransferases,Uracil phosphoribosyltransferase,COG0035,F,Nucleotide metabolism and transport
K00762,orotate phosphoribosyltransferase [EC:2.4.2.10],2.4.2.10,Transferases,Glycosyltransferases,Pentosyltransferases,Orotate phosphoribosyltransferase,COG0461,F,Nucleotide metabolism and transport
